Level,Name,School,Source,Restriction
1,Absorb Elements,Abjuration,Xanathar's Guide,
1,Alarm,Abjuration,PHB 2024,
1,Burning Hands,Evocation,PHB 2024,
1,Catapult,Transmutation,Xanathar's Guide,
1,Cause Fear,Necromancy,Xanathar's Guide,
1,Charm Person,Enchantment,PHB 2024,
1,Chromatic Orb,Evocation,PHB 2024,
1,Color Spray,Illusion,PHB 2024,
1,Comprehend Languages,Divination,PHB 2024,
1,Detect Magic,Divination,PHB 2024,
1,Disguise Self,Illusion,PHB 2024,
1,Earth Tremor,Evocation,Xanathar's Guide,
1,Expeditious Retreat,Transmutation,PHB 2024,
1,False Life,Necromancy,PHB 2024,
1,Feather Fall,Transmutation,PHB 2024,
1,Find Familiar,Conjuration,PHB 2024,
1,Fog Cloud,Conjuration,PHB 2024,
1,Frost Fingers,Evocation,Icewind Dale,
1,Grease,Conjuration,PHB 2024,
1,Ice Knife,Conjuration,PHB 2024,
1,Identify,Divination,PHB 2024,
1,Illusory Script,Illusion,PHB 2024,
1,Jump,Transmutation,PHB 2024,
1,Longstrider,Transmutation,PHB 2024,
1,Mage Armor,Abjuration,PHB 2024,
1,Magic Missile,Evocation,PHB 2024,
1,Protection from Evil and Good,Abjuration,PHB 2024,
1,Ray of Sickness,Necromancy,PHB 2024,
1,Shield,Abjuration,PHB 2024,
1,Silent Image,Illusion,PHB 2024,
1,Sleep,Enchantment,PHB 2024,
1,Snare,Abjuration,Xanathar's Guide,
1,Spellfire Flare,Evocation,Heroes of Faerun,
1,Tasha's Caustic Brew,Evocation,Tasha's Cauldron,
1,Tasha's Hideous Laughter,Enchantment,PHB 2024,
1,Tenser's Floating Disk,Conjuration,PHB 2024,
1,Thunderwave,Evocation,PHB 2024,
1,Unseen Servant,Conjuration,PHB 2024,
1,Wardaway,Abjuration,Heroes of Faerun,
1,Witch Bolt,Evocation,PHB 2024,
2,Aganazzar's Scorcher,Evocation,Xanathar's Guide,
2,Air Bubble,Conjuration,Spelljammer,
2,Alter Self,Transmutation,PHB 2024,
2,Arcane Lock,Abjuration,PHB 2024,
2,Arcane Vigor,Abjuration,PHB 2024,
2,Augury,Divination,PHB 2024,
2,Battle Familiar,Conjuration,Arcana Unleashed,
2,Blindness/Deafness,Transmutation,PHB 2024,
2,Blur,Illusion,PHB 2024,
2,Cloud of Daggers,Conjuration,PHB 2024,
2,Continual Flame,Evocation,PHB 2024,
2,Crown of Madness,Enchantment,PHB 2024,
2,Darkness,Evocation,PHB 2024,
2,Darkvision,Transmutation,PHB 2024,
2,Death Armor,Necromancy,Heroes of Faerun,
2,Deryan's Helpful Homunculi,Conjuration,Heroes of Faerun,
2,Detect Thoughts,Divination,PHB 2024,
2,Disruptive Tune,Abjuration,Arcana Unleashed,
2,Dragon's Breath,Transmutation,PHB 2024,
2,Dueling Ground,Abjuration,Arcana Unleashed,
2,Dust Devil,Conjuration,Xanathar's Guide,
2,Earthbind,Transmutation,Xanathar's Guide,
2,Elminster's Elusion,Abjuration,Heroes of Faerun,
2,Enhance Ability,Transmutation,PHB 2024,
2,Enlarge/Reduce,Transmutation,PHB 2024,
2,Flaming Sphere,Conjuration,PHB 2024,
2,Flock of Familiars,Conjuration,Kwalish,
2,Gentle Repose,Necromancy,PHB 2024,
2,Gust of Wind,Evocation,PHB 2024,
2,Hold Person,Enchantment,PHB 2024,
2,Invisibility,Illusion,PHB 2024,
2,Knock,Transmutation,PHB 2024,
2,Levitate,Transmutation,PHB 2024,
2,Locate Object,Divination,PHB 2024,
2,Magic Mouth,Illusion,PHB 2024,
2,Magic Weapon,Transmutation,PHB 2024,
2,Maximilian's Earthen Grasp,Transmutation,Xanathar's Guide,
2,Melf's Acid Arrow,Evocation,PHB 2024,
2,Mind Spike,Divination,PHB 2024,
2,Mirror Image,Illusion,PHB 2024,
2,Misty Step,Conjuration,PHB 2024,
2,Nathair's Mischief,Illusion,Fizban's,
2,Nystul's Magic Aura,Illusion,PHB 2024,
2,Phantasmal Force,Illusion,PHB 2024,
2,Pyrotechnics,Transmutation,Xanathar's Guide,
2,Ray of Enfeeblement,Necromancy,PHB 2024,
2,Rime's Binding Ice,Evocation,Fizban's,
2,Rope Trick,Transmutation,PHB 2024,
2,Scorching Ray,Evocation,PHB 2024,
2,See Invisibility,Divination,PHB 2024,
2,Shadow Blade,Illusion,Xanathar's Guide,
2,Shatter,Evocation,PHB 2024,
2,Skywrite,Transmutation,Xanathar's Guide,
2,Snilloc's Snowball Swarm,Evocation,Xanathar's Guide,
2,Spider Climb,Transmutation,PHB 2024,
2,Spray of Cards,Conjuration,Book of Many Things,
2,Suggestion,Enchantment,PHB 2024,
2,Tasha's Mind Whip,Enchantment,Tasha's Cauldron,
2,Uncertain Footing,Illusion,Arcana Unleashed,
2,Warding Wind,Evocation,Xanathar's Guide,
2,Warp Sense,Divination,Planescape,
2,Web,Conjuration,PHB 2024,
2,Wither and Bloom,Necromancy,Arcana Unleashed,
3,Animate Dead,Necromancy,PHB 2024,
3,Antagonize,Enchantment,Book of Many Things,
3,Ashardalon's Stride,Transmutation,Fizban's,
3,Bestow Curse,Necromancy,PHB 2024,
3,Blink,Transmutation,PHB 2024,
3,Cacophonic Shield,Evocation,Heroes of Faerun,
3,Catnap,Enchantment,Arcana Unleashed,
3,Clairvoyance,Divination,PHB 2024,
3,Conjure Constructs,Conjuration,Heroes of Faerun,
3,Counterspell,Abjuration,PHB 2024,
3,Dispel Magic,Abjuration,PHB 2024,
3,Enemies Abound,Enchantment,Xanathar's Guide,
3,Erupting Earth,Transmutation,Xanathar's Guide,
3,Fear,Illusion,PHB 2024,
3,Feign Death,Necromancy,PHB 2024,
3,Fireball,Evocation,PHB 2024,
3,Flame Arrows,Transmutation,Xanathar's Guide,
3,Fly,Transmutation,PHB 2024,
3,Galder's Tower,Conjuration,Kwalish,
3,Gaseous Form,Transmutation,PHB 2024,
3,Glyph of Warding,Abjuration,PHB 2024,
3,Haste,Transmutation,PHB 2024,
3,Hypnotic Pattern,Illusion,PHB 2024,
3,Inflict Doubt,Enchantment,Arcana Unleashed,
3,Intellect Fortress,Abjuration,Tasha's Cauldron,
3,Laeral's Silver Lance,Evocation,Heroes of Faerun,
3,Leomund's Tiny Hut,Evocation,PHB 2024,
3,Life Transference,Necromancy,Xanathar's Guide,
3,Lightning Bolt,Evocation,PHB 2024,
3,Magic Circle,Abjuration,PHB 2024,
3,Major Image,Illusion,PHB 2024,
3,Melf's Minute Meteors,Evocation,Xanathar's Guide,
3,Nondetection,Abjuration,PHB 2024,
3,Phantom Steed,Illusion,PHB 2024,
3,Protection from Energy,Abjuration,PHB 2024,
3,Remove Curse,Abjuration,PHB 2024,
3,Sending,Divination,PHB 2024,
3,Sleet Storm,Conjuration,PHB 2024,
3,Slow,Transmutation,PHB 2024,
3,Speak with Dead,Necromancy,PHB 2024,
3,Spirit Shroud,Necromancy,Tasha's Cauldron,
3,Stinking Cloud,Conjuration,PHB 2024,
3,Summon Fey,Conjuration,PHB 2024,
3,Summon Lesser Demons,Conjuration,Xanathar's Guide,
3,Summon Shadowspawn,Conjuration,Tasha's Cauldron,
3,Summon Undead,Necromancy,PHB 2024,
3,Syluné’s Viper,Conjuration,Heroes of Faerun,
3,Thunder Step,Conjuration,Xanathar's Guide,
3,Tidal Wave,Conjuration,Xanathar's Guide,
3,Tiny Servant,Transmutation,Xanathar's Guide,
3,Tongues,Divination,PHB 2024,
3,Vampiric Touch,Necromancy,PHB 2024,
3,Wall of Sand,Evocation,Xanathar's Guide,
3,Wall of Water,Evocation,Xanathar's Guide,
3,Water Breathing,Transmutation,PHB 2024,
4,Arcane Eye,Divination,PHB 2024,
4,Backlash,Abjuration,Heroes of Faerun,
4,Banishment,Abjuration,PHB 2024,
4,Blight,Necromancy,PHB 2024,
4,Charm Monster,Enchantment,PHB 2024,
4,Confusion,Enchantment,PHB 2024,
4,Conjure Minor Elementals,Conjuration,PHB 2024,
4,Control Water,Transmutation,PHB 2024,
4,Dimension Door,Conjuration,PHB 2024,
4,Distorted Distance,Illusion,Arcana Unleashed,
4,Divination,Divination,PHB 2024,
4,Elemental Bane,Transmutation,Xanathar's Guide,
4,Evard's Black Tentacles,Conjuration,PHB 2024,
4,Fabricate,Transmutation,PHB 2024,
4,Festering Blast,Necromancy,Arcana Unleashed,
4,Fire Shield,Evocation,PHB 2024,
4,Galder's Speedy Courier,Conjuration,Kwalish,
4,Gate Seal,Abjuration,Planescape,
4,Greater Invisibility,Illusion,PHB 2024,
4,Hallucinatory Terrain,Illusion,PHB 2024,
4,Ice Storm,Evocation,PHB 2024,
4,Leomund's Secret Chest,Conjuration,PHB 2024,
4,Locate Creature,Divination,PHB 2024,
4,Mordenkainen's Faithful Hound,Conjuration,PHB 2024,
4,Mordenkainen's Private Sanctum,Abjuration,PHB 2024,
4,Otiluke's Resilient Sphere,Abjuration,PHB 2024,
4,Phantasmal Killer,Illusion,PHB 2024,
4,Polymorph,Transmutation,PHB 2024,
4,Raulothim's Psychic Lance,Enchantment,Fizban's,
4,Sickening Radiance,Evocation,Xanathar's Guide,
4,Spellfire Storm,Evocation,Heroes of Faerun,
4,Spirit of Death,Necromancy,Book of Many Things,
4,Stone Shape,Transmutation,PHB 2024,
4,Stoneskin,Transmutation,PHB 2024,
4,Storm Sphere,Evocation,Xanathar's Guide,
4,Summon Aberration,Conjuration,PHB 2024,
4,Summon Construct,Conjuration,PHB 2024,
4,Summon Elemental,Conjuration,PHB 2024,
4,Summon Greater Demon,Conjuration,Xanathar's Guide,
4,Vitriolic Sphere,Evocation,PHB 2024,
4,Wall of Fire,Evocation,PHB 2024,
4,Watery Sphere,Conjuration,Xanathar's Guide,
5,Alustriel's Mooncloak,Abjuration,Heroes of Faerun,
5,Animate Objects,Transmutation,PHB 2024,
5,Bigby's Hand,Evocation,PHB 2024,
5,Circle of Power,Abjuration,PHB 2024,
5,Cloudkill,Conjuration,PHB 2024,
5,Cone of Cold,Evocation,PHB 2024,
5,Conjure Elemental,Conjuration,PHB 2024,
5,Contact Other Plane,Divination,PHB 2024,
5,Control Winds,Transmutation,Xanathar's Guide,
5,Create Spelljamming Helm,Transmutation,Spelljammer,
5,Creation,Illusion,PHB 2024,
5,Danse Macabre,Necromancy,Xanathar's Guide,
5,Dawn,Evocation,Xanathar's Guide,
5,Dominate Person,Enchantment,PHB 2024,
5,Dream,Illusion,PHB 2024,
5,Enervation,Necromancy,Arcana Unleashed,
5,Far Step,Conjuration,Xanathar's Guide,
5,Geas,Enchantment,PHB 2024,
5,Grave Ground,Necromancy,Arcana Unleashed,
5,Hold Monster,Enchantment,PHB 2024,
5,Immolation,Evocation,Xanathar's Guide,
5,Infernal Calling,Conjuration,Xanathar's Guide,
5,Jallarzi's Storm of Radiance,Evocation,PHB 2024,
5,Legend Lore,Divination,PHB 2024,
5,Mislead,Illusion,PHB 2024,
5,Modify Memory,Enchantment,PHB 2024,
5,Mordenkainen’s Lucubration,Divination,Arcana Unleashed,
5,Negative Energy Flood,Necromancy,Arcana Unleashed,
5,Passwall,Transmutation,PHB 2024,
5,Planar Binding,Abjuration,PHB 2024,
5,Rary's Telepathic Bond,Divination,PHB 2024,
5,Scrying,Divination,PHB 2024,
5,Seeming,Illusion,PHB 2024,
5,Skill Empowerment,Transmutation,Xanathar's Guide,
5,Songal's Elemental Suffusion,Transmutation,Heroes of Faerun,
5,Spirit Lantern,Necromancy,Arcana Unleashed,
5,Steel Wind Strike,Conjuration,PHB 2024,
5,Summon Draconic Spirit,Conjuration,Fizban's,
5,Summon Dragon,Conjuration,PHB 2024,
5,Synaptic Static,Enchantment,PHB 2024,
5,Telekinesis,Transmutation,PHB 2024,
5,Teleportation Circle,Conjuration,PHB 2024,
5,Transmute Rock,Transmutation,Xanathar's Guide,
5,Wall of Force,Evocation,PHB 2024,
5,Wall of Light,Evocation,Xanathar's Guide,
5,Wall of Stone,Evocation,PHB 2024,
5,Waves of Exhaustion,Necromancy,Arcana Unleashed,
5,Yolande's Regal Presence,Enchantment,PHB 2024,
6,Arcane Gate,Conjuration,PHB 2024,
6,Chain Lightning,Evocation,PHB 2024,
6,Circle of Death,Necromancy,PHB 2024,
6,Contingency,Abjuration,PHB 2024,
6,Create Homunculus,Transmutation,Xanathar's Guide,
6,Create Undead,Necromancy,PHB 2024,
6,Disintegrate,Transmutation,PHB 2024,
6,Drawmij's Instant Summons,Conjuration,PHB 2024,
6,Elminster's Effulgent Spheres,Evocation,Heroes of Faerun,
6,Eyebite,Necromancy,PHB 2024,
6,Fizban's Platinum Shield,Abjuration,Fizban's,
6,Flesh to Stone,Transmutation,PHB 2024,
6,Globe of Invulnerability,Abjuration,PHB 2024,
6,Guards and Wards,Abjuration,PHB 2024,
6,Investiture of Flame,Transmutation,Xanathar's Guide,
6,Investiture of Ice,Transmutation,Xanathar's Guide,
6,Investiture of Stone,Transmutation,Xanathar's Guide,
6,Investiture of Wind,Transmutation,Xanathar's Guide,
6,Magic Jar,Necromancy,PHB 2024,
6,Mass Suggestion,Enchantment,PHB 2024,
6,Mental Prison,Illusion,Xanathar's Guide,
6,Move Earth,Transmutation,PHB 2024,
6,Otiluke's Freezing Sphere,Evocation,PHB 2024,
6,Otto's Irresistible Dance,Enchantment,PHB 2024,
6,Programmed Illusion,Illusion,PHB 2024,
6,Scatter,Conjuration,Xanathar's Guide,
6,Soul Cage,Necromancy,Xanathar's Guide,
6,Summon Fiend,Conjuration,PHB 2024,
6,Sunbeam,Evocation,PHB 2024,
6,Tasha's Bubbling Cauldron,Conjuration,PHB 2024,
6,Tasha's Otherworldly Guise,Transmutation,Tasha's Cauldron,
